齿轮常用材料及其力学性能,,,,,,,
,,,,,,,
材料牌号,热处理种类,截面尺寸,,力学性能,,硬度,
,,直径D，mm,壁厚S，mm,σb，N/mm2,σs，N/mm2,HB,HRC
调质钢,,,,,,,
45.0,正火,≤100,≤50,588.0,294.0,169～217,
,,101～300,51～150,569.0,284.0,162～217,
,,301～500,151～250,549.0,275.0,162～217,
,,501～800,251～400,530.0,265.0,156～217,
,调    质,≤100,≤50,647.0,373.0,229～286,
,,101～300,51～150,628.0,343.0,217～255,
,,301～500,151～250,608.0,314.0,197～255,
,表面淬火,,,,,,40～50
35SiMn,调    质,≤100,≤50,785.0,510.0,229～286,
,,101～300,51～150,735.0,441.0,217～269,
,,301～400,151～200,686.0,392.0,217～255,
,,401～500,201～250,637.0,373.0,196～255,
,表面淬火,,,,,,45～55
42SiMn,调    质,≤100,≤50,785.0,510.0,229～286,
,,101～200,51～100,735.0,461.0,217～269,
,,201～300,101～150,686.0,441.0,217～255,
,,301～500,151～250,637.0,373.0,196～255,
,表面淬火,,,,,,45～55
50SiMn,调    质,≤100,≤50,834.0,539.0,229～286,
,,101～200,51～100,735.0,490.0,217～269,
,,201～300,101～150,686.0,441.0,207～255,
,表面淬火,,,,,,45～50
40MnB,调    质,≤200,≤100,735.0,490.0,241～286,
,,201～300,101～150,686.0,441.0,241～286,
,表面淬火,,,,,,45～55
38SiMnMo,调    质,≤100,≤50,735.0,588.0,229～286,
,,101～300,51～150,686.0,539.0,217～269,
,,301～500,151～250,637.0,490.0,196～241,
,,501～800,251～400,588.0,392.0,187～241,
,表面淬火,,,,,,45～55
37SiMnMoV,调质,≤200,≤100,863.0,686.0,269～302,
,,201～400,101～200,814.0,637.0,241～286,
,,401～600,201～300,765.0,588.0,241～269,
,表面淬火,,,,,,50～55
40Cr,调    质,≤100,≤50,735.0,539.0,241～286,
