index,model,power_kW,hp,current_A,speed_rpm,efficiency_pct,power_factor
1.0,Y80M1-2,0.75,1.0,1.8,2825.0,75.0,0.84
2.0,Y80M2-2,1.1,1.5,2.5,2825.0,77.0,0.86
3.0,Y90S-2,1.5,2.0,3.4,2840.0,78.0,0.85
4.0,Y90L-2,2.2,3.0,4.8,2840.0,80.5,0.86
5.0,Y100L-2,3.0,4.0,6.4,2880.0,82.0,0.87
6.0,Y112M-2,4.0,5.5,8.2,2890.0,85.5,0.87
7.0,Y132S1-2,5.5,7.5,11.0,2900.0,85.5,0.88
8.0,Y132S2-2,7.5,10.0,15.0,2900.0,86.2,0.88
9.0,Y160M1-2,11.0,15.0,21.8,2930.0,87.2,0.88
10.0,Y160M2-2,15.0,20.0,29.3,2930.0,88.2,0.88
11.0,Y160L-2,18.5,25.0,35.5,2930.0,89.0,0.89
12.0,Y180M-2,22.0,30.0,42.2,2940.0,89.0,0.89
13.0,Y200L1-2,30.0,40.0,56.9,2950.0,90.0,0.89
14.0,Y200L2-2,37.0,50.0,69.8,2950.0,90.5,0.89
15.0,Y225M-2,45.0,61.0,84.0,2970.0,91.5,0.89
16.0,Y250M-2,55.0,75.0,102.6,2970.0,91.5,0.89
17.0,Y280S-2,75.0,102.0,139.2,2970.0,92.0,0.89
18.0,Y280M-2,90.0,122.5,166.1,2970.0,92.5,0.89
19.0,Y315S-2,110.0,150.0,2.3,2980.0,92.5,0.89
20.0,Y315M-2,132.0,180.0,242.3,2980.0,93.0,0.89
21.0,Y315L1-2,160.0,218.0,292.0,2980.0,93.5,0.89
22.0,Y315L2-2,200.0,272.0,365.2,2980.0,93.5,0.89
23.0,Y355M1-2,220.0,299.0,396.7,2981.0,94.2,0.89
24.0,Y355M2-2,250.0,340.0,446.6,2981.0,94.5,0.9
25.0,Y355L1-2,280.0,381.0,499.2,2981.0,94.7,0.9
26.0,Y355L2-2,315.0,429.0,559.8,2981.0,95.0,0.9
27.0,Y80M1-4,0.55,0.75,1.5,1390.0,73.0,0.76
28.0,Y80M2-4,0.75,1.0,2.0,1390.0,74.5,0.76
29.0,Y90S-4,1.1,1.5,2.7,1400.0,78.0,0.78
30.0,Y90L-4,1.5,2.0,3.7,1400.0,79.0,0.79
